PING 192.168.1.101 (192.168.1.101) 56(84) bytes of data.
64 bytes from 192.168.1.101: icmp_seq=1 ttl=127 time=0.554 ms
64 bytes from 192.168.1.101: icmp_seq=2 ttl=127 time=0.479 ms
64 bytes from 192.168.1.101: icmp_seq=3 ttl=127 time=0.510 ms
64 bytes from 192.168.1.101: icmp_seq=4 ttl=127 time=0.415 ms
64 bytes from 192.168.1.101: icmp_seq=5 ttl=127 time=0.406 ms
64 bytes from 192.168.1.101: icmp_seq=6 ttl=127 time=0.379 ms
64 bytes from 192.168.1.101: icmp_seq=7 ttl=127 time=0.443 ms
64 bytes from 192.168.1.101: icmp_seq=8 ttl=127 time=0.442 ms
64 bytes from 192.168.1.101: icmp_seq=9 ttl=127 time=0.440 ms
64 bytes from 192.168.1.101: icmp_seq=10 ttl=127 time=0.417 ms
64 bytes from 192.168.1.101: icmp_seq=11 ttl=127 time=0.456 ms
64 bytes from 192.168.1.101: icmp_seq=12 ttl=127 time=0.471 ms
64 bytes from 192.168.1.101: icmp_seq=13 ttl=127 time=0.448 ms
64 bytes from 192.168.1.101: icmp_seq=14 ttl=127 time=0.392 ms
64 bytes from 192.168.1.101: icmp_seq=15 ttl=127 time=1.29 ms
64 bytes from 192.168.1.101: icmp_seq=16 ttl=127 time=2.88 ms
64 bytes from 192.168.1.101: icmp_seq=17 ttl=127 time=1.38 ms
64 bytes from 192.168.1.101: icmp_seq=18 ttl=127 time=0.485 ms
64 bytes from 192.168.1.101: icmp_seq=19 ttl=127 time=1.32 ms
64 bytes from 192.168.1.101: icmp_seq=20 ttl=127 time=1.24 ms
64 bytes from 192.168.1.101: icmp_seq=21 ttl=127 time=1.29 ms
64 bytes from 192.168.1.101: icmp_seq=22 ttl=127 time=0.465 ms
64 bytes from 192.168.1.101: icmp_seq=23 ttl=127 time=1.32 ms
64 bytes from 192.168.1.101: icmp_seq=24 ttl=127 time=1.36 ms
64 bytes from 192.168.1.101: icmp_seq=25 ttl=127 time=1.78 ms
64 bytes from 192.168.1.101: icmp_seq=26 ttl=127 time=1.39 ms
64 bytes from 192.168.1.101: icmp_seq=27 ttl=127 time=0.495 ms
64 bytes from 192.168.1.101: icmp_seq=28 ttl=127 time=1.46 ms
64 bytes from 192.168.1.101: icmp_seq=29 ttl=127 time=1.28 ms
64 bytes from 192.168.1.101: icmp_seq=30 ttl=127 time=0.420 ms
64 bytes from 192.168.1.101: icmp_seq=31 ttl=127 time=1.21 ms
64 bytes from 192.168.1.101: icmp_seq=32 ttl=127 time=1.27 ms
64 bytes from 192.168.1.101: icmp_seq=33 ttl=127 time=1.38 ms
64 bytes from 192.168.1.101: icmp_seq=34 ttl=127 time=1.39 ms
64 bytes from 192.168.1.101: icmp_seq=35 ttl=127 time=1.38 ms
64 bytes from 192.168.1.101: icmp_seq=36 ttl=127 time=1.38 ms
64 bytes from 192.168.1.101: icmp_seq=37 ttl=127 time=1.35 ms
64 bytes from 192.168.1.101: icmp_seq=38 ttl=127 time=1.41 ms
64 bytes from 192.168.1.101: icmp_seq=39 ttl=127 time=0.440 ms
64 bytes from 192.168.1.101: icmp_seq=40 ttl=127 time=1.29 ms
64 bytes from 192.168.1.101: icmp_seq=41 ttl=127 time=1.22 ms
64 bytes from 192.168.1.101: icmp_seq=42 ttl=127 time=0.359 ms
64 bytes from 192.168.1.101: icmp_seq=43 ttl=127 time=0.332 ms
64 bytes from 192.168.1.101: icmp_seq=44 ttl=127 time=0.464 ms
64 bytes from 192.168.1.101: icmp_seq=45 ttl=127 time=0.453 ms
64 bytes from 192.168.1.101: icmp_seq=46 ttl=127 time=0.450 ms
64 bytes from 192.168.1.101: icmp_seq=47 ttl=127 time=0.439 ms
64 bytes from 192.168.1.101: icmp_seq=48 ttl=127 time=0.420 ms
64 bytes from 192.168.1.101: icmp_seq=49 ttl=127 time=0.466 ms
64 bytes from 192.168.1.101: icmp_seq=50 ttl=127 time=0.443 ms

--- 192.168.1.101 ping statistics ---
50 packets transmitted, 50 received, 0% packet loss, time 49595ms
rtt min/avg/max/mdev = 0.332/0.874/2.881/0.538 ms
