PING 192.168.1.100 (192.168.1.100) 56(84) bytes of data.
64 bytes from 192.168.1.100: icmp_seq=1 ttl=127 time=2.04 ms
64 bytes from 192.168.1.100: icmp_seq=2 ttl=127 time=0.621 ms
64 bytes from 192.168.1.100: icmp_seq=3 ttl=127 time=0.620 ms
64 bytes from 192.168.1.100: icmp_seq=4 ttl=127 time=0.765 ms
64 bytes from 192.168.1.100: icmp_seq=5 ttl=127 time=0.814 ms
64 bytes from 192.168.1.100: icmp_seq=6 ttl=127 time=0.704 ms
64 bytes from 192.168.1.100: icmp_seq=7 ttl=127 time=0.942 ms
64 bytes from 192.168.1.100: icmp_seq=8 ttl=127 time=0.620 ms
64 bytes from 192.168.1.100: icmp_seq=9 ttl=127 time=0.605 ms
64 bytes from 192.168.1.100: icmp_seq=10 ttl=127 time=0.761 ms
64 bytes from 192.168.1.100: icmp_seq=11 ttl=127 time=0.621 ms
64 bytes from 192.168.1.100: icmp_seq=12 ttl=127 time=0.601 ms
64 bytes from 192.168.1.100: icmp_seq=13 ttl=127 time=0.787 ms
64 bytes from 192.168.1.100: icmp_seq=14 ttl=127 time=0.749 ms
64 bytes from 192.168.1.100: icmp_seq=15 ttl=127 time=0.685 ms
64 bytes from 192.168.1.100: icmp_seq=16 ttl=127 time=0.659 ms
64 bytes from 192.168.1.100: icmp_seq=17 ttl=127 time=0.723 ms
64 bytes from 192.168.1.100: icmp_seq=18 ttl=127 time=0.758 ms
64 bytes from 192.168.1.100: icmp_seq=19 ttl=127 time=0.911 ms
64 bytes from 192.168.1.100: icmp_seq=20 ttl=127 time=0.609 ms
64 bytes from 192.168.1.100: icmp_seq=21 ttl=127 time=0.616 ms
64 bytes from 192.168.1.100: icmp_seq=22 ttl=127 time=0.798 ms
64 bytes from 192.168.1.100: icmp_seq=23 ttl=127 time=1.13 ms
64 bytes from 192.168.1.100: icmp_seq=24 ttl=127 time=0.726 ms
64 bytes from 192.168.1.100: icmp_seq=25 ttl=127 time=0.589 ms
64 bytes from 192.168.1.100: icmp_seq=26 ttl=127 time=0.810 ms
64 bytes from 192.168.1.100: icmp_seq=27 ttl=127 time=0.617 ms
64 bytes from 192.168.1.100: icmp_seq=28 ttl=127 time=1.08 ms
64 bytes from 192.168.1.100: icmp_seq=29 ttl=127 time=0.791 ms
64 bytes from 192.168.1.100: icmp_seq=30 ttl=127 time=0.889 ms
64 bytes from 192.168.1.100: icmp_seq=31 ttl=127 time=0.688 ms
64 bytes from 192.168.1.100: icmp_seq=32 ttl=127 time=0.762 ms
64 bytes from 192.168.1.100: icmp_seq=33 ttl=127 time=0.728 ms
64 bytes from 192.168.1.100: icmp_seq=34 ttl=127 time=0.663 ms
64 bytes from 192.168.1.100: icmp_seq=35 ttl=127 time=0.727 ms
64 bytes from 192.168.1.100: icmp_seq=36 ttl=127 time=2.04 ms
64 bytes from 192.168.1.100: icmp_seq=37 ttl=127 time=0.740 ms
64 bytes from 192.168.1.100: icmp_seq=38 ttl=127 time=0.669 ms
64 bytes from 192.168.1.100: icmp_seq=39 ttl=127 time=0.603 ms
64 bytes from 192.168.1.100: icmp_seq=40 ttl=127 time=0.683 ms
64 bytes from 192.168.1.100: icmp_seq=41 ttl=127 time=1.74 ms
64 bytes from 192.168.1.100: icmp_seq=42 ttl=127 time=0.720 ms
64 bytes from 192.168.1.100: icmp_seq=43 ttl=127 time=0.648 ms
64 bytes from 192.168.1.100: icmp_seq=44 ttl=127 time=19.3 ms
64 bytes from 192.168.1.100: icmp_seq=45 ttl=127 time=1.76 ms
64 bytes from 192.168.1.100: icmp_seq=46 ttl=127 time=25.5 ms
64 bytes from 192.168.1.100: icmp_seq=47 ttl=127 time=0.755 ms
64 bytes from 192.168.1.100: icmp_seq=48 ttl=127 time=0.645 ms
64 bytes from 192.168.1.100: icmp_seq=49 ttl=127 time=1.00 ms
64 bytes from 192.168.1.100: icmp_seq=50 ttl=127 time=0.617 ms

--- 192.168.1.100 ping statistics ---
50 packets transmitted, 50 received, 0% packet loss, time 49280ms
rtt min/avg/max/mdev = 0.589/1.695/25.562/4.295 ms
